title,author,price
 正版 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥44.38
 接入网技术 孙青华 计算机类 书籍,其他,¥47.00
 C语言程序设计 杨娟 计算机类 书籍 任选备注,中国水利水电出版社,¥43.00
 萱草 雪芹 计算机类教材书籍 图书馆正版,中国林业出版社,¥68.60
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业正版,马塔伊·米赫尔等,¥54.50
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥55.00
 【直发】Linux操作系统与服务配置 “十三五”高等职业教育规划教材 中国铁道出版社 严学军著 计算机类书籍 任选备注,其他,¥62.00
 机器学习观止 核心原理与实践 语音识别自然语言处理算法书籍 人工智能计算机类书籍 凤凰清华大学 978730255744,林学森,¥137.51
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
" E在数据挖掘中的应用 谢邦昌,朱建平,王小燕 经济理论、法规 经管、励志 厦门学出版社 计算机类书籍 数据丛书",厦门大学出版社,¥69.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥56.00
 【认准正版 量大优惠】【2023新书】Android开发基础与案例实战 Java版 微课视频版 童长飞 高等学校计算机类,人民邮电出版社,¥58.00
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥74.00
 深度学习：智能时代的核心驱动力量 特伦斯·谢诺夫斯基 引领你了解人工智能井喷式发展的真相 计算机类书籍 中信,中信出版集团,¥69.00
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍,肯尼斯·肯德尔等,¥172.91
 正版现货 计算机应用基础 叶克江 西安电子科技大学出版社(高职高专公共基础课十三五规划教材) 畅销书计算机类书籍,叶克江，杨兴波，李海燕,¥76.50
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍,肯尼斯·肯德尔等,¥180.80
 正版 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础,电子工业出版社,¥46.50
 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍 9787121248856,杨彩云,¥28.50
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍 畅想畅销书,其他,¥32.70
 正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书博闻推荐,其他,¥50.00
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥61.20
 AutoCAD 2014建筑设计案例教程 书店 张宪立 计算机类书籍 书 畅想畅销书,其他,¥37.40
 数据库技术与应用教程+应用实践教程-Access 2013 第二版 李雨孙末 数据库表查询语言SQLVBA编程重难点详讲,易丹辉,¥68.60
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.63
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.62
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业【可开发票】,电子工业出版社,¥47.30
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥74.25
 【直发】L操作系统与服务配置 “十三五”高等职业教育规划教材 中国铁道出版社 严学军 计算机类书籍,其他,¥64.00
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础,电子工业出版社,¥46.50
 JavaScript程序设计基础与范例教程 书店 曹维明 计算机类书籍 书 畅想畅销书,其他,¥38.70
" Excel在大数据挖掘中的应用 谢邦昌,朱建平,王小燕 著 经济理论、法规 经管、励志 厦门大学出版社 计算机类书籍 大",厦门大学出版社,¥77.00
 正版 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥45.88
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥62.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥70.00
